zipcode,latitude,longitude,room_type,accommodates,bedrooms,price,review_scores_value
1053,52.37302064,4.868460923,Entire home/apt,4,2.0,130,100.0
,52.36575451,4.941419235,Private room,2,1.0,59,100.0
1053,52.36938767,4.866972319,Entire home/apt,4,1.0,95,90.0
1017,52.36190508,4.888050037,Entire home/apt,2,1.0,100,100.0
1016 AM,52.37153345,4.887057291,Entire home/apt,6,2.0,250,60.0
1016 AM,52.3713592,4.888072287,Private room,4,1.0,140,
1016 AM,52.3704458,4.889069478,Private room,2,1.0,115,90.0
1071 VV,52.35564811,4.885834819,Private room,2,1.0,80,90.0
1078,52.34591098,4.891982605,Private room,3,1.0,80,90.0
1015,52.37935439,4.883276386,Entire home/apt,2,1.0,90,90.0
1072,52.35748276,4.887099593,Entire home/apt,3,2.0,100,100.0
1056 TM,52.371207,4.857291017,Entire home/apt,3,2.0,95,100.0
1011 JX,52.36959599,4.899069358,Entire home/apt,2,1.0,145,90.0
1013,52.37801663,4.892703442,Entire home/apt,3,1.0,132,90.0
1055XP,52.38141023,4.852742701,Entire home/apt,2,1.0,79,100.0
1013,52.38029988,4.885143665,Entire home/apt,4,0.0,180,90.0
1013HE,52.38147315,4.886809875,Shared room,1,1.0,75,100.0
1053,52.36761407,4.866895471,Private room,2,1.0,82,100.0
1059,52.34658737,4.84919711,Private room,2,1.0,59,90.0
1097 AM,52.3534049,4.92442006,Entire home/apt,2,1.0,99,
1018,52.36928364,4.909938668,Entire home/apt,4,1.0,190,
1053 LB,52.36675578,4.871953549,Entire home/apt,4,1.0,110,
1015,52.37935439,4.883276386,Entire home/apt,2,1.0,90,90.0
1016,52.3731684,4.883239196,Entire home/apt,3,1.0,100,
1058,52.36522071,4.838338484,Private room,4,1.0,35,100.0
1052,52.38268456,4.876129664,Private room,4,1.0,43,100.0
1017,52.36508703,4.893541008,Private room,2,1.0,50,90.0
1017,52.36343343,4.892453063,Private room,2,1.0,50,90.0
1015 GN,52.38189925,4.882599016,Entire home/apt,2,1.0,69,90.0
1054,52.35745628,4.861242085,Entire home/apt,4,1.0,80,80.0
1013 NS,52.3881284,4.888545572,Entire home/apt,4,1.0,80,70.0
1019,52.37300252,4.951019576,Private room,2,1.0,110,
1019 WZ,52.37320882,4.952018098,Entire home/apt,2,1.0,350,
1018 HL,52.36781183,4.923052202,Entire home/apt,4,1.0,110,80.0
1052,52.37501222,4.879694208,Private room,2,1.0,74,100.0
1012 ML,52.37785675,4.896534945,Entire home/apt,8,2.0,250,90.0
1016 LK,52.37303502,4.876419434,Entire home/apt,6,4.0,200,90.0
1053 MX,52.36318648,4.867269951,Entire home/apt,6,2.0,180,90.0
1053,52.36986326,4.872518729,Entire home/apt,6,2.0,200,90.0
1074 EN,52.35305467,4.90188698,Entire home/apt,6,2.0,160,90.0
1073 GG,52.35281266,4.896553574,Entire home/apt,6,2.0,200,90.0
1091 DM,52.36100828,4.916213631,Entire home/apt,6,2.0,160,80.0
1053 NP,52.36129424,4.858443675,Entire home/apt,4,2.0,120,100.0
1017 RD,52.36376239,4.884498735,Entire home/apt,4,2.0,120,90.0
1052 SJ,52.3722377,4.871811203,Entire home/apt,4,1.0,120,
1072 CC,52.35613973,4.888475752,Entire home/apt,4,1.0,100,90.0
1092,52.35674793,4.924005845,Entire home/apt,4,1.0,75,90.0
1012,52.3770844,4.895307225,Entire home/apt,4,1.0,140,90.0
1052 EJ,52.37359727,4.873286997,Entire home/apt,4,1.0,160,90.0
1012,52.37727689,4.8950297,Entire home/apt,4,1.0,120,90.0
1017,52.36318355,4.89964497,Entire home/apt,3,1.0,80,100.0
1079 LM,52.34530413,4.911874372,Entire home/apt,10,5.0,206,60.0
1074 JH,52.35280372,4.908385671,Entire home/apt,6,2.0,140,80.0
1051AL,52.38200517,4.8756299,Entire home/apt,6,2.0,200,80.0
1016 HG,52.37121579,4.883911014,Entire home/apt,6,2.0,227,80.0
1018,52.36265828,4.909767079,Entire home/apt,4,2.0,140,90.0
1015 DT,52.37609642,4.884574734,Entire home/apt,4,1.0,200,90.0
1013,52.38672732,4.89207807,Entire home/apt,2,1.0,135,100.0
1053,52.36695076,4.867029312,Entire home/apt,2,1.0,90,100.0
1052,52.38262451,4.878955874,Entire home/apt,4,1.0,95,90.0
1016 BL,52.37148578,4.888167944,Entire home/apt,4,2.0,179,90.0
1095,52.36500978,4.943572387,Entire home/apt,6,3.0,120,90.0
1012,52.37408073,4.897792586,Entire home/apt,2,1.0,230,90.0
1011,52.37531439,4.903689027,Entire home/apt,4,2.0,195,90.0
1017,52.36436233,4.897554031,Private room,2,1.0,100,90.0
1017,52.36498595,4.898400166,Private room,2,1.0,55,90.0
1056,52.37441423,4.857962927,Private room,2,1.0,60,90.0
1056 GC,52.37529835,4.857196176,Private room,2,1.0,60,90.0
1017,52.36610077,4.889528484,Private room,2,1.0,75,90.0
1017,52.36607213,4.89099938,Private room,1,1.0,55,90.0
1017,52.36722763,4.891235318,Private room,1,1.0,45,90.0
1016,52.3678093,4.877908369,Entire home/apt,2,1.0,120,90.0
1072 AW,52.34975311,4.884765072,Entire home/apt,4,2.0,180,80.0
1072 AW,52.34982879,4.887147116,Entire home/apt,2,0.0,100,80.0
1072 AW,52.3504502,4.8861133,Entire home/apt,2,0.0,100,90.0
1054,52.36793778,4.876497045,Entire home/apt,2,1.0,100,90.0
1013,52.38050992,4.894188598,Entire home/apt,2,1.0,130,90.0
1013,52.3805797,4.892336621,Entire home/apt,2,1.0,110,90.0
1015 GN,52.38189925,4.882599016,Entire home/apt,2,1.0,69,90.0
1091TL,52.34808093,4.913960886,Entire home/apt,2,1.0,70,
1018,52.36325836,4.908473002,Entire home/apt,2,1.0,120,90.0
1056 DC,52.3706463,4.848612899,Private room,1,1.0,40,90.0
1054,52.36750276,4.875253281,Entire home/apt,2,1.0,95,100.0
1059,52.35132054,4.848382899,Entire home/apt,4,3.0,180,100.0
1016 SP,52.36998657,4.879435888,Entire home/apt,2,1.0,100,80.0
1013,52.3804423,4.896870326,Entire home/apt,4,2.0,200,80.0
1013 WJ,52.39309367,4.872934521,Entire home/apt,4,3.0,129,100.0
1015,52.37732083,4.883227809,Entire home/apt,2,1.0,80,90.0
1013,52.37983516,4.892287983,Entire home/apt,4,1.0,150,100.0
1015,52.37465882,4.878832927,Entire home/apt,3,1.0,95,100.0
1012,52.36614982,4.890281816,Entire home/apt,4,1.0,89,90.0
1053 KR,52.36924782,4.871122633,Entire home/apt,2,1.0,125,90.0
